"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_id","gene_symbol"
7.42729670168038e-73,10.1631880856218,0.595,0.002,2.50255335066419e-68,"13","ENSG00000184113","ENSG00000184113","CLDN5"
1.40711738281932e-78,10.1548225165776,0.633,0.003,4.74114130967142e-74,"13","ENSG00000110799","ENSG00000110799","VWF"
3.14423695052276e-67,9.96799005807387,0.56,0.001,1.05941919810914e-62,"13","ENSG00000118946","ENSG00000118946","PCDH17"
2.42601882385849e-56,10.4127676490054,0.585,0,8.1742278251088e-52,"17","ENSG00000198178","ENSG00000198178","CLEC4C"
4.14222073733014e-36,9.92083559545475,0.377,0.001,1.39567985523602e-31,"17","ENSG00000186081","ENSG00000186081","KRT5"
2.76737590036579e-73,9.40576641825987,0.774,0.002,9.32439635869251e-69,"17","ENSG00000239961","ENSG00000239961","LILRA4"
4.46356321510254e-47,9.25476165833898,0.509,0.003,1.50395298969665e-42,"17","ENSG00000171611","ENSG00000171611","PTCRA"
6.5488267778639e-38,8.04338298542941,0.396,0.003,2.20656169453346e-33,"17","ENSG00000069696","ENSG00000069696","DRD4"
4.02482578542548e-20,7.8169640967701,0.245,0.001,1.35612480014126e-15,"17","ENSG00000070915","ENSG00000070915","SLC12A3"
7.26586755123615e-62,7.75725355586522,0.66,0.005,2.44816141271351e-57,"17","ENSG00000070031","ENSG00000070031","SCT"
3.26753944642471e-27,7.70209245938685,0.283,0.002,1.10096474107834e-22,"17","ENSG00000142549","ENSG00000142549","IGLON5"
5.90101394728181e-20,7.51175698891322,0.226,0.001,1.98828763939713e-15,"17","ENSG00000101440","ENSG00000101440","ASIP"
6.5488267778639e-38,7.13429796502479,0.396,0.002,2.20656169453346e-33,"17","ENSG00000102174","ENSG00000102174","PHEX"
2.32434945941806e-18,6.40612785226409,0.208,0.003,7.8316630685632e-14,"17","ENSG00000221866","ENSG00000221866","PLXNA4"
3.26753944642471e-27,6.40563305818342,0.283,0.003,1.10096474107834e-22,"17","ENSG00000086288","ENSG00000086288","NME8"
