"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_id","gene_symbol"
5.54365797211049e-08,1.08006605272811,0.295,0.114,0.00186788011712291,"13","ENSG00000213203","ENSG00000213203","GIMAP1"
5.62947778313203e-08,1.07718901267021,0.428,0.263,0.00189679624424851,"13","ENSG00000108774","ENSG00000108774","RAB5C"
6.11518113130298e-08,0.646239229137152,0.393,0.24,0.00206044913038123,"13","ENSG00000077147","ENSG00000077147","TM9SF3"
6.25588708190122e-08,0.861183095610357,0.407,0.255,0.0021078585933758,"13","ENSG00000136950","ENSG00000136950","ARPC5L"
6.37878477455014e-08,0.439308749149706,0.226,0.087,0.00214926774193692,"13","ENSG00000148671","ENSG00000148671","ADIRF"
6.37896311198906e-08,1.3168774250793,0.244,0.104,0.00214932783095359,"13","ENSG00000125755","ENSG00000125755","SYMPK"
6.41914212112296e-08,1.25248348429436,0.238,0.108,0.00216286574629117,"13","ENSG00000066427","ENSG00000066427","ATXN3"
6.45887365741855e-08,1.08910426171065,0.234,0.103,0.00217625289013061,"13","ENSG00000183520","ENSG00000183520","UTP11L"
6.60367371558921e-08,1.40585098287613,0.2,0.061,0.00222504182173063,"13","ENSG00000126803","ENSG00000126803","HSPA2"
6.71000846267103e-08,1.07761393660622,0.232,0.11,0.00226087025141238,"13","ENSG00000162695","ENSG00000162695","SLC30A7"
6.76455378816043e-08,1.5335221052755,0.224,0.082,0.00227924875338277,"13","ENSG00000198517","ENSG00000198517","MAFK"
6.77289225584732e-08,0.839906789506929,0.381,0.249,0.0022820583166852,"13","ENSG00000165280","ENSG00000165280","VCP"
6.95995283365713e-08,0.640356618690975,0.204,0.11,0.00234508650777243,"13","ENSG00000160953","ENSG00000160953","MUM1"
6.96615222299381e-08,0.965814044999694,0.385,0.232,0.00234717533001553,"13","ENSG00000135316","ENSG00000135316","SYNCRIP"
7.17357535688436e-08,1.15539532005753,0.2,0.087,0.00241706448074862,"13","ENSG00000122008","ENSG00000122008","POLK"
7.18058032786802e-08,0.93994462572305,0.234,0.108,0.00241942473567185,"13","ENSG00000157216","ENSG00000157216","SSBP3"
7.25465201192677e-08,1.53976565724063,0.206,0.064,0.00244438244889861,"13","ENSG00000154845","ENSG00000154845","PPP4R1"
7.30674473318466e-08,1.55610047503218,0.218,0.096,0.00246193457039924,"13","ENSG00000128829","ENSG00000128829","EIF2AK4"
7.34665124178349e-08,1.11329417936025,0.269,0.133,0.00247538066940653,"13","ENSG00000077232","ENSG00000077232","DNAJC10"
7.58612766955707e-08,1.09995064961516,0.2,0.101,0.00255606985698056,"13","ENSG00000120688","ENSG00000120688","WBP4"
7.63475503045205e-08,0.908004901338912,0.54,0.358,0.00257245435996052,"13","ENSG00000069275","ENSG00000069275","NUCKS1"
