"gene_id","gene_symbol","ENTREZID","cell_type","rank_stat"
"ENSG00000065154","OAT","4942","B_cells",2.03120867958355
"ENSG00000109684","CLNK","116449","B_cells",2.03047464607662
"ENSG00000174738","NR1D2","9975","B_cells",2.03024801369713
"ENSG00000108423","TUBD1","51174","B_cells",2.02579328580077
"ENSG00000186020","ZNF529","57711","B_cells",2.02151004953256
"ENSG00000113384","GOLPH3","64083","B_cells",2.02045422637492
"ENSG00000143624","INTS3","65123","B_cells",2.01924174306368
"ENSG00000100784","RPS6KA5","9252","B_cells",2.01662501673449
"ENSG00000167977","KCTD5","54442","B_cells",2.01554522948189
"ENSG00000122862","SRGN","5552","B_cells",2.01496224366596
"ENSG00000142178","SIK1","150094","B_cells",2.01195658503643
"ENSG00000168710","AHCYL1","10768","B_cells",2.0111138359995
"ENSG00000266094","RASSF5","83593","B_cells",2.01070707166984
"ENSG00000204116","CHIC1","53344","B_cells",2.00960467728071
"ENSG00000128923","FAM63B","54629","B_cells",2.00180284949933
"ENSG00000145545","SRD5A1","6715","B_cells",1.99750112108103
"ENSG00000106608","URGCP","55665","B_cells",1.99374040576696
"ENSG00000123066","MED13L","23389","B_cells",1.99359091344124
"ENSG00000081181","ARG2","384","B_cells",1.99158591066157
"ENSG00000152778","IFIT5","24138","B_cells",1.98840720740114
"ENSG00000168994","PXDC1","221749","B_cells",1.98800726162628
"ENSG00000244462","RBM12","10137","B_cells",1.98610401551216
"ENSG00000177463","NR2C2","7182","B_cells",1.98531828808795
"ENSG00000137449","CPEB2","132864","B_cells",1.98414891214577
"ENSG00000198467","TPM2","7169","B_cells",1.98279740756993
"ENSG00000134028","ADAMDEC1","27299","B_cells",1.97841589171441
"ENSG00000183486","MX2","4600","B_cells",1.97752466962823
"ENSG00000136925","TSTD2","158427","B_cells",1.97699258388453
"ENSG00000102699","PARP4","143","B_cells",1.97090259407828
"ENSG00000129315","CCNT1","904","B_cells",1.96651116343096
"ENSG00000101310","SEC23B","10483","B_cells",1.96255383079644
"ENSG00000163946","FAM208A","23272","B_cells",1.95876281868885
"ENSG00000155926","SLA","6503","B_cells",1.95387255688796
"ENSG00000176058","TPRN","286262","B_cells",1.95075737966198
"ENSG00000196387","ZNF140","7699","B_cells",1.95061225819179
"ENSG00000139351","SYCP3","50511","B_cells",1.94850732668971
"ENSG00000137965","IFI44","10561","B_cells",1.94699144354716
"ENSG00000149930","TAOK2","9344","B_cells",1.94466784189377
"ENSG00000106829","TLE4","7091","B_cells",1.9407794833752
"ENSG00000101544","ADNP2","22850","B_cells",1.94064916349167
"ENSG00000104047","DTWD1","56986","B_cells",1.94029254134401
"ENSG00000167193","CRK","1398","B_cells",1.93883976836009
"ENSG00000179088","C12orf42","374470","B_cells",1.93856639965832
"ENSG00000185728","YTHDF3","253943","B_cells",1.93373925481167
"ENSG00000163297","ANTXR2","118429","B_cells",1.93031045014508
"ENSG00000040933","INPP4A","3631","B_cells",1.92992039136207
"ENSG00000139278","GLIPR1","11010","B_cells",1.92835274277386
"ENSG00000170456","DENND5B","160518","B_cells",1.92473388059085
"ENSG00000020577","SAMD4A","23034","B_cells",1.91961312842745
"ENSG00000168876","ANKRD49","54851","B_cells",1.91917452233129
"ENSG00000127463","EMC1","23065","B_cells",1.91687290602165
"ENSG00000153933","DGKE","8526","B_cells",1.91186105153711
"ENSG00000143614","GATAD2B","57459","B_cells",1.91140212201595
"ENSG00000185379","RAD51D","5892","B_cells",1.91026920856652
"ENSG00000145041","VPRBP","9730","B_cells",1.90874493409285
"ENSG00000113658","SMAD5","4090","B_cells",1.90653922815696
"ENSG00000261609","GAN","8139","B_cells",1.90558056913739
"ENSG00000132109","TRIM21","6737","B_cells",1.90181491706603
