"gene_id","cell_type","loo_direction_consistency","min_loo_logcpm_difference","max_loo_logcpm_difference"
"ENSG00000084073","B_cells",1,0.57789072157718,0.990735560146033
"ENSG00000049089","B_cells",0.833333333333333,-0.315451598192834,0.463757859809359
"ENSG00000084070","B_cells",1,0.890248580282073,1.55134713658725
"ENSG00000164002","B_cells",1,0.336424880810852,1.0020852805935
"ENSG00000117010","B_cells",1,0.445433783223502,0.825363804989003
"ENSG00000066136","B_cells",1,0.125061038493407,0.286270763274165
"ENSG00000171793","B_cells",1,-1.19570038743695,-0.515854108887795
"ENSG00000010803","B_cells",0.833333333333333,-0.347967699318616,0.131662814621314
"ENSG00000127124","B_cells",0.5,-0.307823828016892,0.327287712178169
"ENSG00000198815","B_cells",1,0.277708250529348,0.662143272674616
"ENSG00000127125","B_cells",1,-0.866764853767381,-0.326125669551404
"ENSG00000171960","B_cells",1,-0.819580486755738,-0.103709015241733
"ENSG00000065978","B_cells",0.833333333333333,-0.769543005670213,0.108803025267418
"ENSG00000117385","B_cells",1,0.133304067635476,0.539975484517933
"ENSG00000164008","B_cells",0.333333333333333,-0.555076280983513,0.294490850423172
"ENSG00000177868","B_cells",1,-1.07465247258714,-0.307137268154507
"ENSG00000117394","B_cells",0.5,-0.404135249575897,0.147675209462687
"ENSG00000117395","B_cells",1,-1.66005839911098,-0.277686303084685
"ENSG00000117399","B_cells",1,-3.05769560990952,-1.9124707176475
"ENSG00000066322","B_cells",0.666666666666667,-0.080231746699579,0.0945568193042243
"ENSG00000159479","B_cells",0.666666666666667,-0.177917710222121,0.418150093615775
"ENSG00000198198","B_cells",0.333333333333333,-0.41093641204831,0.275260602548965
"ENSG00000178922","B_cells",0.666666666666667,-0.497912694454843,0.580016662087951
"ENSG00000066135","B_cells",0.666666666666667,-0.3152564521587,0.300901302440441
"ENSG00000117408","B_cells",1,0.695159932113711,1.60327452363859
"ENSG00000132768","B_cells",0.333333333333333,-0.285920365964243,0.270007705233485
